model,mode,arm,chunk_id,ppl,kl,flip
Llama-3.3-70B-Instruct,scale,stras_fp8 all,27,6.611319,0.065216,0.116211
Llama-3.3-70B-Instruct,scale,stras_fp8 all,28,5.997000,0.073899,0.103516
Llama-3.3-70B-Instruct,scale,stras_fp8 all,29,7.240811,0.092912,0.125977
Llama-3.3-70B-Instruct,scale,stras_fp8 all,30,8.201585,0.061620,0.094727
Llama-3.3-70B-Instruct,scale,stras_fp8 all,31,8.338475,0.080546,0.136719
Llama-3.3-70B-Instruct,scale,stras_fp8 body,0,3.792671,0.058639,0.073242
Llama-3.3-70B-Instruct,scale,stras_fp8 body,1,3.547210,0.249811,0.132812
Llama-3.3-70B-Instruct,scale,stras_fp8 body,2,3.648609,0.312949,0.196289
Llama-3.3-70B-Instruct,scale,stras_fp8 body,3,4.056204,0.343563,0.204102
Llama-3.3-70B-Instruct,scale,stras_fp8 body,4,3.806371,0.343456,0.189453
Llama-3.3-70B-Instruct,scale,stras_fp8 body,5,4.623076,0.309134,0.188477
Llama-3.3-70B-Instruct,scale,stras_fp8 body,6,5.219828,0.181812,0.156250
Llama-3.3-70B-Instruct,scale,stras_fp8 body,7,4.618189,0.061393,0.106445
Llama-3.3-70B-Instruct,scale,stras_fp8 body,8,5.829995,0.064594,0.108398
Llama-3.3-70B-Instruct,scale,stras_fp8 body,9,3.835017,0.119986,0.104492
Llama-3.3-70B-Instruct,scale,stras_fp8 body,10,4.380310,0.090707,0.094727
Llama-3.3-70B-Instruct,scale,stras_fp8 body,11,2.577223,0.164843,0.114258
Llama-3.3-70B-Instruct,scale,stras_fp8 body,12,2.502832,0.160627,0.109375
Llama-3.3-70B-Instruct,scale,stras_fp8 body,13,3.981504,0.126012,0.124023
Llama-3.3-70B-Instruct,scale,stras_fp8 body,14,4.590138,0.110750,0.125000
Llama-3.3-70B-Instruct,scale,stras_fp8 body,15,5.227776,0.092784,0.104492
Llama-3.3-70B-Instruct,scale,stras_fp8 body,16,5.768343,0.125430,0.160156
Llama-3.3-70B-Instruct,scale,stras_fp8 body,17,7.088865,0.079162,0.116211
Llama-3.3-70B-Instruct,scale,stras_fp8 body,18,5.919621,0.052442,0.098633
Llama-3.3-70B-Instruct,scale,stras_fp8 body,19,6.247527,0.052554,0.103516
Llama-3.3-70B-Instruct,scale,stras_fp8 body,20,5.855754,0.077672,0.116211
Llama-3.3-70B-Instruct,scale,stras_fp8 body,21,5.655030,0.054839,0.099609
Llama-3.3-70B-Instruct,scale,stras_fp8 body,22,10.918377,0.051798,0.089844
Llama-3.3-70B-Instruct,scale,stras_fp8 body,23,3.001670,0.310351,0.175781
Llama-3.3-70B-Instruct,scale,stras_fp8 body,24,4.813425,0.167513,0.139648
Llama-3.3-70B-Instruct,scale,stras_fp8 body,25,6.922871,0.063449,0.091797
Llama-3.3-70B-Instruct,scale,stras_fp8 body,26,8.061288,0.074132,0.109375
Llama-3.3-70B-Instruct,scale,stras_fp8 body,27,6.592715,0.060444,0.105469
Llama-3.3-70B-Instruct,scale,stras_fp8 body,28,5.953047,0.068860,0.103516
Llama-3.3-70B-Instruct,scale,stras_fp8 body,29,7.216861,0.087723,0.125977
Llama-3.3-70B-Instruct,scale,stras_fp8 body,30,8.157650,0.056578,0.083984
Llama-3.3-70B-Instruct,scale,stras_fp8 body,31,8.269599,0.074501,0.122070
Llama-3.3-70B-Instruct,scale,acc_fp8 all,0,3.819834,0.056190,0.076172
Llama-3.3-70B-Instruct,scale,acc_fp8 all,1,3.273204,0.173887,0.118164
Llama-3.3-70B-Instruct,scale,acc_fp8 all,2,3.478023,0.294967,0.172852
