model,mode,arm,chunk_id,ppl,kl,flip
Qwen2.5-72B-Instruct,scale,acc_fp8 all,12,2.716447,0.042868,0.069336
Qwen2.5-72B-Instruct,scale,acc_fp8 all,13,2.388102,0.071469,0.068359
Qwen2.5-72B-Instruct,scale,acc_fp8 all,14,4.350710,0.041450,0.093750
Qwen2.5-72B-Instruct,scale,acc_fp8 all,15,5.072324,0.045910,0.085938
Qwen2.5-72B-Instruct,scale,acc_fp8 all,16,4.564532,0.048692,0.094727
Qwen2.5-72B-Instruct,scale,acc_fp8 all,17,6.235987,0.049797,0.116211
Qwen2.5-72B-Instruct,scale,acc_fp8 all,18,7.590710,0.052376,0.114258
Qwen2.5-72B-Instruct,scale,acc_fp8 all,19,6.639393,0.060998,0.096680
Qwen2.5-72B-Instruct,scale,acc_fp8 all,20,6.578721,0.058150,0.117188
Qwen2.5-72B-Instruct,scale,acc_fp8 all,21,7.342835,0.046734,0.097656
Qwen2.5-72B-Instruct,scale,acc_fp8 all,22,5.653814,0.058892,0.114258
Qwen2.5-72B-Instruct,scale,acc_fp8 all,23,9.051053,0.042471,0.126953
Qwen2.5-72B-Instruct,scale,acc_fp8 all,24,3.560893,0.107964,0.095703
Qwen2.5-72B-Instruct,scale,acc_fp8 all,25,3.499017,0.100103,0.106445
Qwen2.5-72B-Instruct,scale,acc_fp8 all,26,6.548884,0.043317,0.090820
Qwen2.5-72B-Instruct,scale,acc_fp8 all,27,5.769556,0.055218,0.090820
Qwen2.5-72B-Instruct,scale,acc_fp8 all,28,5.346983,0.068911,0.103516
Qwen2.5-72B-Instruct,scale,acc_fp8 all,29,5.199662,0.069233,0.106445
Qwen2.5-72B-Instruct,scale,acc_fp8 all,30,4.310238,0.087994,0.103516
Qwen2.5-72B-Instruct,scale,acc_fp8 all,31,5.965316,0.068373,0.119141
Qwen2.5-72B-Instruct,scale,acc_fp8 body,0,4.651008,0.021698,0.059570
Qwen2.5-72B-Instruct,scale,acc_fp8 body,1,3.045808,0.096070,0.055664
Qwen2.5-72B-Instruct,scale,acc_fp8 body,2,1.806520,0.106008,0.054688
Qwen2.5-72B-Instruct,scale,acc_fp8 body,3,1.980626,0.110696,0.080078
Qwen2.5-72B-Instruct,scale,acc_fp8 body,4,2.117065,0.132407,0.088867
Qwen2.5-72B-Instruct,scale,acc_fp8 body,5,2.151900,0.183401,0.108398
Qwen2.5-72B-Instruct,scale,acc_fp8 body,6,4.174853,0.094230,0.094727
Qwen2.5-72B-Instruct,scale,acc_fp8 body,7,7.576280,0.031409,0.067383
Qwen2.5-72B-Instruct,scale,acc_fp8 body,8,5.112664,0.028520,0.079102
Qwen2.5-72B-Instruct,scale,acc_fp8 body,9,5.165140,0.073326,0.100586
Qwen2.5-72B-Instruct,scale,acc_fp8 body,10,4.685334,0.040294,0.063477
Qwen2.5-72B-Instruct,scale,acc_fp8 body,11,2.611407,0.029472,0.052734
Qwen2.5-72B-Instruct,scale,acc_fp8 body,12,2.709384,0.037208,0.067383
Qwen2.5-72B-Instruct,scale,acc_fp8 body,13,2.371734,0.066134,0.064453
Qwen2.5-72B-Instruct,scale,acc_fp8 body,14,4.344598,0.031819,0.071289
Qwen2.5-72B-Instruct,scale,acc_fp8 body,15,5.008861,0.035904,0.070312
Qwen2.5-72B-Instruct,scale,acc_fp8 body,16,4.541160,0.038623,0.079102
Qwen2.5-72B-Instruct,scale,acc_fp8 body,17,6.169457,0.037795,0.097656
Qwen2.5-72B-Instruct,scale,acc_fp8 body,18,7.476259,0.040997,0.091797
Qwen2.5-72B-Instruct,scale,acc_fp8 body,19,6.599443,0.049586,0.070312
Qwen2.5-72B-Instruct,scale,acc_fp8 body,20,6.509103,0.042888,0.090820
Qwen2.5-72B-Instruct,scale,acc_fp8 body,21,7.318378,0.037732,0.090820
Qwen2.5-72B-Instruct,scale,acc_fp8 body,22,5.640754,0.049063,0.087891
Qwen2.5-72B-Instruct,scale,acc_fp8 body,23,8.963927,0.027632,0.082031
Qwen2.5-72B-Instruct,scale,acc_fp8 body,24,3.537611,0.101385,0.091797
Qwen2.5-72B-Instruct,scale,acc_fp8 body,25,3.467953,0.094706,0.098633
Qwen2.5-72B-Instruct,scale,acc_fp8 body,26,6.517535,0.030694,0.072266
Qwen2.5-72B-Instruct,scale,acc_fp8 body,27,5.703808,0.043917,0.071289
Qwen2.5-72B-Instruct,scale,acc_fp8 body,28,5.310684,0.059729,0.090820
Qwen2.5-72B-Instruct,scale,acc_fp8 body,29,5.151622,0.060983,0.097656
Qwen2.5-72B-Instruct,scale,acc_fp8 body,30,4.305704,0.083178,0.095703
Qwen2.5-72B-Instruct,scale,acc_fp8 body,31,5.937254,0.058083,0.113281
